,gato,perro,vaca,caballo,cerdo,oveja,cabra,pollo,pato,ganso,conejo,ratón,rata,ciervo,oso,lobo,zorro,león,tigre,elefante,mono,jirafa,cebra,camello,canguro,serpiente,rana,pez,ballena,delfín,águila,búho,cuervo,abeja,hormiga,mariposa,araña,tortuga,tiburón,pingüino
giraf,0.20,0.20,0.20,0.14,0.20,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.20,0.33,0.00,0.00,0.20,0.00,0.20,0.12,0.00,0.67,0.20,0.00,0.14,0.11,0.20,0.00,0.00,0.00,0.33,0.00,0.17,0.00,0.14,0.12,0.20,0.14,0.29,0.12
zebra,0.00,0.40,0.20,0.14,0.20,0.20,0.60,0.00,0.00,0.00,0.00,0.00,0.20,0.17,0.00,0.20,0.40,0.20,0.20,0.12,0.00,0.17,0.80,0.14,0.14,0.11,0.20,0.20,0.14,0.17,0.17,0.00,0.17,0.20,0.14,0.12,0.20,0.14,0.29,0.00
kamel,0.20,0.00,0.20,0.29,0.00,0.00,0.20,0.00,0.20,0.20,0.17,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.57,0.14,0.11,0.20,0.20,0.29,0.00,0.17,0.00,0.00,0.20,0.14,0.12,0.00,0.00,0.00,0.00
kænguru,0.14,0.14,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.29,0.00,0.14,0.00,0.14,0.00,0.57,0.00,0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.25
slange,0.17,0.00,0.17,0.14,0.00,0.00,0.17,0.00,0.17,0.33,0.00,0.17,0.17,0.00,0.00,0.17,0.00,0.17,0.17,0.50,0.17,0.00,0.00,0.00,0.29,0.33,0.33,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.17,0.14,0.00,0.12
frø,0.00,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.20,0.00,0.20,0.12,0.00,0.17,0.20,0.00,0.14,0.11,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.14,0.12,0.20,0.14,0.14,0.00
fisk,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.17,0.25,0.00,0.00,0.00,0.20,0.12,0.00,0.17,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.14,0.25,0.00,0.00,0.14,0.12
hval,0.00,0.00,0.25,0.29,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.17,0.00,0.14,0.00,0.00,0.00,0.00,0.14,0.00,0.17,0.00,0.00,0.00,0.14,0.00,0.20,0.00,0.00,0.00
delfin,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.33,0.00,0.38,0.00,0.00,0.17,0.14,0.00,0.33,0.00,0.17,0.29,0.83,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.14,0.25
ørn,0.00,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.20,0.17,0.20,0.00,0.17,0.00,0.00,0.20,0.25,0.20,0.12,0.25,0.17,0.20,0.00,0.14,0.22,0.25,0.00,0.14,0.17,0.00,0.00,0.17,0.00,0.14,0.12,0.20,0.14,0.29,0.12
ugle,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.12,0.00,0.00,0.00,0.14,0.14,0.11,0.00,0.00,0.29,0.17,0.33,0.00,0.17,0.00,0.00,0.00,0.00,0.14,0.14,0.12
krage,0.20,0.00,0.20,0.14,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.00,0.20,0.25,0.00,0.33,0.00,0.14,0.14,0.22,0.40,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.29,0.12,0.40,0.29,0.00,0.12
bi,0.00,0.00,0.00,0.14,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.25,0.00,0.00,0.20,0.00,0.00,0.17,0.20,0.00,0.00,0.11,0.00,0.00,0.14,0.00,0.17,0.25,0.00,0.20,0.14,0.12,0.00,0.00,0.14,0.12
myre,0.00,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.20,0.00,0.40,0.12,0.25,0.17,0.20,0.14,0.14,0.22,0.00,0.00,0.14,0.00,0.00,0.00,0.17,0.00,0.14,0.25,0.00,0.14,0.14,0.00
sommerfugl,0.00,0.20,0.00,0.00,0.20,0.20,0.10,0.10,0.00,0.00,0.20,0.10,0.10,0.20,0.10,0.10,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.10,0.10,0.10,0.10,0.10,0.20,0.10,0.00,0.20,0.10,0.30,0.10,0.10,0.40,0.10,0.00
edderkop,0.12,0.38,0.00,0.12,0.38,0.12,0.12,0.12,0.12,0.12,0.25,0.00,0.12,0.38,0.12,0.12,0.25,0.12,0.12,0.12,0.12,0.12,0.12,0.25,0.12,0.11,0.12,0.12,0.00,0.25,0.00,0.12,0.38,0.12,0.00,0.00,0.12,0.00,0.12,0.00
skildpadde,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.10,0.00,0.10,0.10,0.10,0.00,0.10,0.00,0.10,0.20,0.30,0.00,0.20,0.10,0.00,0.00,0.20,0.10,0.10,0.20,0.10,0.20,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.10
haj,0.25,0.00,0.25,0.14,0.00,0.20,0.20,0.00,0.25,0.20,0.17,0.20,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.17,0.00,0.14,0.14,0.00,0.25,0.00,0.14,0.00,0.00,0.00,0.00,0.20,0.14,0.12,0.20,0.00,0.00,0.00
pingvin,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.14,0.14,0.00,0.29,0.00,0.00,0.00,0.14,0.29,0.00,0.14,0.14,0.00,0.00,0.29,0.11,0.14,0.14,0.00,0.14,0.14,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.29,0.75
